,1979,,1980,,Jan.1981-Aug.1982,,Aug.1982-Nov.1983,,Nov.1983-Nov.1984,,Nov.1984-Nov.1985,,Nov.1985-Nov.1986,,Nov.1986-Nov.1987,,1988,1989,1990,1991,1992,1993,,,,,,,,,,1994,,,,,,,,,,1995,,,,,,,,,,1996,,,,,,,,,,1997,,,,,,,,,,1998,,,,,,,,,,1999,,,,,,,,,,2000,,,,,,,,,,2001,,,,,2002,,,,,2003,,,,,2004,,,,,2005,,,,,2006,,,,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,
,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Status,Status,Status,Status,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status
Mauritania,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,10,9,10,5,7,8,8,68,NF,10,10,9,10,5,7,6,20,77,NF,10,10,10,10,2,8,4,17,71,NF,12,12,15,15,2,10,0,5,71,NF,12,12,15,15,2,10,0,5,71,NF,12,12,15,15,2,10,0,5,71,NF,12,10,13,10,2,14,1,5,67,NF,12,10,13,12,2,14,0,4,67,NF,23,18,20,61,NF,21,23,17,61,NF,23,22,19,64,NF,22,24,19,65,NF,19,20,18,57,PF,18,20,17,55,PF,18,20,18,56,PF,18,22,18,58,PF,18,21,17,56,PF,17,19,17,53,PF,17,18,17,52,PF,14,17,16,47,PF,14,19,15,48,PF,15,20,15,50,PF,16,20,15,51,PF,17,20,16,53,PF
Mauritius,F,F,F,F,F,F,F,F,F,F,F,F,F,PF,F,PF,F,F,F,F,F,2,7,4,5,4,2,1,5,30,F,2,6,6,5,4,2,0,5,30,F,5,8,2,10,0,0,0,0,25,F,5,8,2,10,0,0,0,0,25,F,5,8,2,4,0,0,0,1,20,F,5,8,2,4,0,0,0,1,20,F,5,6,2,4,0,0,0,0,17,F,5,4,2,4,0,2,0,0,17,F,5,7,5,17,F,5,9,10,24,F,5,10,11,26,F,6,9,13,28,F,6,8,12,26,F,6,8,12,26,F,6,8,12,26,F,6,8,12,26,F,6,8,13,27,F,6,9,13,28,F,7,9,13,29,F,7,10,13,30,F,7,10,13,30,F,7,10,13,30,F,6,10,13,29,F,6,10,13,29,F
Mexico,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,3,3,8,8,8,8,4,18,60,PF,3,3,8,4,7,6,5,18,54,PF,6,4,2,8,2,8,7,15,52,PF,6,4,5,12,3,12,5,5,52,PF,6,4,12,12,3,12,0,5,54,PF,6,4,12,12,3,12,0,5,54,PF,6,4,12,12,3,12,0,1,50,PF,6,4,9,8,3,8,3,5,46,PF,14,20,6,40,PF,13,16,9,38,PF,11,16,9,36,PF,11,20,11,42,PF,13,22,13,48,PF,12,23,13,48,PF,13,25,13,51,PF,15,27,13,55,PF,16,30,14,60,PF,17,31,14,62,NF,17,31,14,62,NF,16,31,14,61,NF,16,31,14,61,NF,18,31,14,63,NF,19,31,14,64,NF,19,31,14,64,NF
Micronesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,7,4,5,5,1,1,25,F,1,1,6,5,5,5,0,0,23,F,1,1,6,5,5,5,0,0,23,F,1,1,6,5,5,5,0,0,23,F,1,1,10,5,5,2,0,2,26,F,1,1,10,7,5,2,0,0,26,F,1,1,8,7,5,2,0,0,24,F,2,1,7,5,4,3,0,0,22,F,2,2,16,20,F,2,3,12,17,F,1,7,11,19,F,1,7,10,18,F,1,8,11,20,F,1,8,11,20,F,2,8,11,21,F,2,8,11,21,F,2,8,11,21,F,2,8,11,21,F,2,8,11,21,F,2,8,11,21,F,2,8,11,21,F,2,8,11,21,F,2,8,11,21,F,2,8,11,21,F
Moldova,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PF,5,5,10,9,4,4,2,2,41,PF,5,7,10,9,6,7,1,2,47,PF,10,10,10,9,0,9,4,10,62,NF,12,13,8,7,7,9,1,1,57,PF,12,13,8,7,7,9,1,1,58,PF,12,13,8,7,7,9,0,0,56,PF,12,13,8,7,7,9,0,2,58,PF,12,13,9,7,7,9,1,1,59,PF,22,20,17,59,PF,20,22,17,59,PF,22,23,18,63,NF,20,26,19,65,NF,20,25,20,65,NF,20,25,20,65,NF,20,25,21,66,NF,20,26,21,67,NF,20,24,21,65,NF,17,19,19,55,PF,17,18,19,54,PF,16,18,19,53,PF,16,18,19,53,PF,17,19,19,55,PF,17,21,18,56,PF,17,21,18,56,PF
Monaco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,4,9,F,3,4,6,13,F,3,5,6,14,F,3,7,6,16,F,3,7,6,16,F,3,7,6,16,F,3,7,6,16,F,3,7,6,16,F,3,7,6,16,F,3,7,6,16,F,3,7,6,16,F,3,6,6,15,F,3,6,6,15,F,3,6,6,15,F,3,6,7,16,F
Mongolia,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,F,10,6,6,9,6,8,0,0,40,PF,9,5,6,9,6,6,0,0,41,PF,7,6,8,5,0,8,0,0,34,PF,7,6,8,5,0,8,0,0,34,PF,7,6,8,5,0,8,0,0,34,PF,7,6,6,3,0,8,0,0,30,F,6,5,6,3,0,8,0,1,29,F,6,5,6,3,0,8,0,0,28,F,4,12,15,31,PF,11,11,14,36,PF,11,12,13,36,PF,11,12,12,35,PF,11,12,11,34,PF,12,13,11,36,PF,13,13,12,38,PF,13,16,12,41,PF,14,13,12,39,PF,14,13,12,39,PF,13,12,12,37,PF,13,12,12,37,PF,13,12,12,37,PF,13,12,12,37,PF,13,12,12,37,PF,13,12,12,37,PF
Montenegro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,16,10,37,PF,12,16,10,38,PF,11,16,10,37,PF,11,16,10,37,PF,11,16,10,37,PF,9,16,10,35,PF,9,17,10,36,PF,10,18,11,39,PF,10,18,11,39,PF,11,18,12,41,PF,13,19,12,44,PF
Morocco,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,NF,NF,PF,PF,PF,7,7,7,6,7,5,5,15,59,PF,7,7,7,6,6,5,5,10,53,PF,10,10,5,9,0,10,0,4,48,PF,11,11,6,10,0,10,1,2,51,PF,11,11,6,10,0,10,1,2,51,PF,11,11,6,10,0,10,1,2,51,PF,11,11,6,10,0,10,0,1,49,PF,11,11,6,10,0,10,1,4,53,PF,22,22,14,58,PF,19,22,16,57,PF,21,23,17,61,NF,21,25,17,63,NF,22,22,17,61,NF,23,22,17,62,NF,24,23,17,64,NF,24,23,17,64,NF,25,24,17,66,NF,25,25,18,68,NF,25,25,18,68,NF,24,24,18,66,NF,24,24,18,66,NF,24,24,18,66,NF,23,25,18,66,NF,23,25,18,66,NF
Mozambique,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,8,9,5,6,5,9,9,10,61,NF,8,9,5,3,5,9,5,10,54,PF,5,5,7,9,5,5,0,0,36,PF,8,7,10,13,5,5,2,0,50,PF,8,7,10,13,5,5,0,0,48,PF,8,7,10,13,5,5,0,0,48,PF,8,7,10,10,5,5,0,3,48,PF,8,7,10,7,5,8,0,3,48,PF,17,14,17,48,PF,14,18,15,47,PF,13,17,15,45,PF,13,17,15,45,PF,12,17,14,43,PF,11,15,14,40,PF,11,15,14,40,PF,12,15,14,41,PF,12,16,14,42,PF,13,17,14,44,PF,12,16,15,43,PF,13,14,15,42,PF,13,17,15,45,PF,12,17,15,44,PF,12,19,15,46,PF,12,21,15,48,PF
Myanmar,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,10,10,10,4,10,18,18,90,NF,10,10,10,10,9,10,20,20,99,NF,10,10,10,10,9,10,20,20,99,NF,15,15,15,15,15,15,4,5,99,NF,15,15,15,15,15,15,4,5,99,NF,15,15,15,15,15,15,2,5,97,NF,15,15,15,15,15,15,5,5,100,NF,15,15,15,15,15,15,5,5,100,NF,30,40,26,96,NF,30,37,27,94,NF,30,38,27,95,NF,30,38,28,96,NF,30,38,28,96,NF,30,38,28,96,NF,30,39,28,97,NF,30,38,28,96,NF,30,38,27,95,NF,30,37,27,94,NF,28,31,26,85,NF,23,24,25,72,NF,22,24,24,70,NF,23,27,23,73,NF,23,28,22,73,NF,23,29,21,73,NF
Namibia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,F,F,2,5,2,2,4,5,1,2,23,F,2,4,2,2,4,5,4,0,23,F,2,2,7,7,0,2,6,4,30,F,3,3,10,10,0,3,1,0,30,F,3,3,10,10,0,3,0,1,30,F,3,3,10,12,0,3,5,2,38,PF,3,3,10,12,0,3,1,2,34,PF,3,3,10,12,1,3,1,1,34,PF,3,19,12,34,PF,8,15,14,37,PF,9,12,13,34,PF,8,9,12,29,F,8,10,12,30,F,8,10,12,30,F,8,10,12,30,F,8,10,12,30,F,9,13,12,34,PF,9,14,11,34,PF,9,13,10,32,PF,9,12,10,31,PF,9,12,10,31,PF,9,14,10,33,PF,9,14,10,33,PF,9,13,10,32,PF
Nauru,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,7,3,2,4,1,1,20,F,1,1,7,3,2,4,0,0,18,F,1,1,1,1,1,1,0,0,6,F,1,1,1,1,1,1,0,0,6,F,1,1,1,1,1,1,0,0,6,F,1,1,1,1,1,1,0,0,6,F,1,1,1,1,1,1,0,0,6,F,1,1,5,2,2,1,1,0,13,F,5,12,10,27,F,5,11,10,26,F,2,10,13,25,F,4,12,13,29,F,4,13,13,30,F,4,11,13,28,F,4,11,13,28,F,4,11,13,28,F,4,11,13,28,F,4,11,13,28,F,4,11,13,28,F,4,11,13,28,F,5,12,14,31,PF,5,13,14,32,PF,9,18,14,41,PF,10,20,16,46,PF
Nepal,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,PF,PF,F,F,8,8,9,8,6,8,3,3,53,PF,8,8,9,8,6,8,1,6,54,PF,8,9,7,8,0,8,0,12,52,PF,12,14,10,12,0,8,0,0,56,PF,12,14,10,12,0,8,0,3,59,PF,12,14,10,10,0,8,0,5,59,PF,12,14,10,10,0,8,0,5,59,PF,12,10,10,8,3,11,0,3,57,PF,21,24,15,60,PF,19,34,12,65,NF,20,31,14,65,NF,20,32,17,69,NF,23,35,19,77,NF,17,27,14,58,PF,15,28,14,57,PF,15,28,14,57,PF,16,28,15,59,PF,16,28,15,59,PF,15,25,15,55,PF,16,27,15,58,PF,16,24,15,55,PF,16,24,15,55,PF,16,23,15,54,PF,16,21,15,52,PF
Netherlands,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,3,3,1,1,1,3,1,1,14,F,3,3,2,1,1,3,4,1,18,F,3,3,2,2,1,3,0,0,14,F,3,3,2,2,1,3,0,0,14,F,3,3,2,2,1,3,0,0,14,F,3,3,2,2,1,3,0,0,14,F,3,3,2,2,1,3,0,0,14,F,3,3,2,2,1,3,0,1,15,F,5,4,6,15,F,5,4,6,15,F,2,4,6,12,F,1,6,4,11,F,1,6,4,11,F,2,7,4,13,F,2,7,4,13,F,2,7,4,13,F,3,7,4,14,F,3,7,4,14,F,2,6,4,12,F,1,6,4,11,F,1,5,4,10,F,2,5,4,11,F,2,5,4,11,F,2,5,4,11,F
New Zealand,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,2,1,1,2,0,0,8,F,1,1,2,1,1,2,0,0,8,F,1,1,1,2,0,1,0,0,6,F,1,1,1,2,0,1,0,0,6,F,1,1,1,2,0,1,0,0,6,F,2,2,1,2,0,1,0,0,8,F,2,2,1,2,0,1,0,0,8,F,2,1,1,2,1,1,0,0,8,F,0,1,7,8,F,1,1,6,8,F,1,3,6,10,F,2,4,6,12,F,2,5,6,13,F,3,5,5,13,F,2,5,6,13,F,3,5,6,14,F,3,5,6,14,F,3,6,6,15,F,3,8,6,17,F,3,7,6,16,F,3,8,7,18,F,4,8,7,19,F,5,8,7,20,F,4,8,7,19,F
Nicaragua,F,PF,F,PF,PF,PF,PF,NF,PF,NF,PF,NF,NF,NF,PF,NF,NF,NF,PF,PF,PF,5,6,5,6,4,6,14,10,56,PF,5,6,5,6,4,6,10,11,53,PF,5,6,5,6,4,6,6,6,44,PF,6,8,6,7,5,8,1,1,44,PF,6,8,6,7,5,8,0,0,40,PF,6,8,6,6,5,8,1,0,40,PF,6,8,6,6,5,8,1,0,40,PF,6,5,6,5,8,10,0,0,40,PF,6,15,11,32,PF,10,16,14,40,PF,10,14,13,37,PF,14,17,11,42,PF,14,18,12,44,PF,14,16,12,42,PF,14,17,12,43,PF,14,19,12,45,PF,14,20,13,47,PF,13,19,15,47,PF,13,20,16,49,PF,14,20,17,51,PF,14,21,17,52,PF,14,21,17,52,PF,14,23,17,54,PF,14,24,17,55,PF
Niger,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,5,8,9,6,5,8,5,15,61,NF,5,8,8,8,5,9,5,13,61,NF,6,7,9,9,5,9,0,9,54,PF,8,9,13,13,5,9,3,3,63,NF,8,9,13,13,5,9,3,3,63,NF,9,10,14,14,5,9,5,2,68,NF,9,10,14,14,5,9,0,1,62,NF,9,9,11,12,9,11,0,1,62,NF,20,14,15,49,PF,21,17,15,53,PF,20,20,16,56,PF,19,18,16,53,PF,21,19,16,56,PF,21,20,17,58,PF,22,24,17,63,NF,22,25,17,64,NF,25,26,17,68,NF,21,21,17,59,PF,15,17,17,49,PF,15,18,17,50,PF,15,20,17,52,PF,15,19,17,51,PF,16,20,17,53,PF,16,19,17,52,PF
Nigeria,F,PF,F,PF,F,PF,F,PF,PF,PF,PF,PF,PF,PF,PF,PF,F,PF,PF,PF,PF,5,10,9,9,5,3,4,12,57,PF,7,10,9,10,5,6,3,19,69,NF,10,10,10,10,8,10,14,20,92,NF,15,15,15,15,8,15,5,5,93,NF,15,15,15,15,8,15,5,5,93,NF,15,15,3,4,8,10,0,0,55,PF,8,8,5,6,8,10,3,5,53,PF,8,8,5,6,8,10,5,5,55,PF,15,24,18,57,PF,15,22,16,53,PF,15,23,15,53,PF,15,21,16,52,PF,15,21,18,54,PF,14,24,17,55,PF,14,22,17,53,PF,15,22,17,54,PF,15,22,17,54,PF,14,21,17,52,PF,13,22,15,50,PF,13,23,15,51,PF,14,22,15,51,PF,14,23,16,53,PF,14,22,15,51,PF,14,22,15,51,PF
North Korea,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,10,10,10,5,5,20,20,90,NF,10,10,10,10,10,10,15,17,92,NF,10,10,10,10,10,10,20,20,100,NF,15,15,15,15,15,15,5,5,100,NF,15,15,15,15,15,15,5,5,100,NF,15,15,15,15,15,15,5,5,100,NF,15,15,15,15,15,15,5,5,100,NF,15,15,15,15,15,15,5,5,100,NF,30,36,30,96,NF,30,40,26,96,NF,30,39,29,98,NF,30,38,29,97,NF,30,38,29,97,NF,30,38,29,97,NF,30,39,29,98,NF,30,39,29,98,NF,30,40,29,99,NF,30,38,29,97,NF,30,38,29,97,NF,30,37,29,96,NF,30,38,29,97,NF,30,38,29,97,NF,30,38,29,97,NF,30,39,29,98,NF
Norway,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,1,2,2,1,1,1,10,F,1,1,1,2,2,1,0,0,8,F,1,3,0,0,0,1,0,0,5,F,1,3,0,0,0,1,0,0,5,F,1,3,0,0,0,1,0,0,5,F,1,3,0,0,0,1,0,0,5,F,1,3,0,0,0,1,0,0,5,F,1,2,0,0,1,1,0,0,5,F,6,1,2,9,F,2,1,6,9,F,3,3,3,9,F,3,3,4,10,F,3,3,4,10,F,3,4,4,11,F,3,3,4,10,F,3,3,4,10,F,3,3,4,10,F,3,4,4,11,F,3,3,4,10,F,3,3,4,10,F,3,3,4,10,F,3,3,4,10,F,2,3,4,9,F,2,3,3,8,F
Oman,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,10,10,8,10,10,5,5,68,NF,10,10,10,9,10,10,5,5,69,NF,10,10,10,10,10,10,0,2,62,NF,15,15,15,15,0,5,1,1,67,NF,15,15,15,15,0,15,0,0,75,NF,15,15,15,15,0,15,0,0,75,NF,15,15,13,13,0,15,0,0,71,NF,15,15,13,13,0,15,0,0,71,NF,26,18,24,68,NF,26,25,22,73,NF,26,26,22,74,NF,25,26,21,72,NF,22,26,22,70,NF,24,28,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF,25,27,19,71,NF
Pakistan,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,NF,PF,NF,PF,NF,F,PF,PF,PF,PF,3,3,9,8,7,8,9,11,58,PF,4,4,9,8,6,5,5,18,59,PF,4,6,5,10,0,3,12,20,60,PF,6,9,13,11,0,9,1,5,54,PF,6,9,13,11,0,9,5,5,58,PF,6,9,13,13,0,9,5,5,60,PF,6,9,15,15,0,9,5,5,64,NF,9,6,13,9,1,14,0,5,57,PF,15,26,16,57,PF,17,25,16,58,PF,17,24,18,59,PF,18,25,18,61,NF,18,25,18,61,NF,17,28,18,63,NF,20,29,17,66,NF,19,27,16,62,NF,19,26,16,61,NF,18,27,16,61,NF,18,29,16,63,NF,19,29,16,64,NF,19,29,16,64,NF,19,30,16,65,NF,19,29,16,64,NF,19,30,16,65,NF
Palau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,7,9,F,1,3,7,11,F,1,4,8,13,F,1,5,8,14,F,1,6,7,14,F,1,5,8,14,F,1,5,8,14,F,1,5,8,14,F,1,5,8,14,F,1,6,9,16,F,1,6,9,16,F,1,6,8,15,F,1,6,8,15,F,1,6,8,15,F,1,6,8,15,F
Panama,PF,PF,F,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,NF,NF,NF,NF,F,F,F,4,4,2,3,4,5,2,3,27,F,3,3,2,2,4,5,0,3,22,F,7,8,2,2,4,7,0,0,30,F,7,8,2,2,4,7,0,0,30,F,7,8,2,2,4,7,0,0,30,F,7,8,2,2,4,7,0,0,30,F,7,8,2,2,4,7,0,0,30,F,7,8,2,2,4,7,0,0,30,F,14,9,7,30,F,16,11,7,34,PF,19,17,9,45,PF,17,17,10,44,PF,17,16,10,43,PF,18,16,9,43,PF,18,17,9,44,PF,18,17,9,44,PF,17,18,9,44,PF,18,17,9,44,PF,17,19,10,46,PF,17,19,12,48,PF,17,20,13,50,PF,17,19,13,49,PF,17,18,11,46,PF,17,15,9,41,PF
Papua New Guinea,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,2,2,3,3,4,4,5,2,25,F,2,2,3,3,4,4,1,4,23,F,5,5,7,5,2,2,4,0,30,F,5,5,7,7,2,2,2,0,30,F,5,5,7,7,2,2,0,0,28,F,5,5,7,7,2,2,0,0,28,F,5,5,7,7,2,2,0,0,28,F,5,5,3,4,6,5,1,0,29,F,3,6,17,26,F,3,10,12,25,F,5,11,9,25,F,4,13,12,29,F,4,13,12,29,F,4,14,12,30,F,4,13,11,28,F,4,12,10,26,F,4,10,10,24,F,4,11,10,25,F,6,11,10,27,F,6,12,10,28,F,6,13,10,29,F,6,14,9,29,F,7,13,9,29,F,7,13,9,29,F
Paraguay,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,NF,NF,NF,NF,PF,NF,NF,PF,PF,PF,PF,2,2,5,5,5,5,5,12,41,PF,2,2,7,7,5,5,8,20,56,PF,5,5,5,9,3,3,14,8,52,PF,7,7,8,13,4,6,2,5,52,PF,7,7,8,13,4,6,2,5,52,PF,7,7,8,13,4,6,1,1,47,PF,7,7,8,13,4,6,3,3,51,PF,8,7,10,8,8,6,2,2,51,PF,12,23,16,51,PF,13,24,18,55,PF,15,22,17,54,PF,17,21,18,56,PF,18,20,19,57,PF,19,23,18,60,PF,19,23,18,60,PF,18,23,18,59,PF,18,23,18,59,PF,19,23,18,60,PF,18,24,18,60,PF,18,25,18,61,NF,17,24,18,59,PF,16,25,18,59,PF,15,25,18,58,PF,16,24,19,59,PF
Peru,PF,PF,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,PF,PF,PF,6,6,5,7,7,6,6,15,58,PF,5,5,8,8,3,8,8,12,57,PF,8,8,5,5,3,3,18,10,60,PF,12,12,8,8,5,5,5,1,56,PF,12,13,8,10,5,5,1,5,59,PF,12,13,8,10,5,5,5,5,63,NF,12,13,10,12,5,5,5,5,67,NF,10,10,8,7,5,8,3,3,54,PF,8,13,9,30,F,9,17,9,35,PF,10,14,10,34,PF,12,17,11,40,PF,11,17,11,39,PF,13,18,11,42,PF,15,18,11,44,PF,14,19,11,44,PF,14,19,11,44,PF,14,18,11,43,PF,14,19,11,44,PF,14,18,11,43,PF,14,18,12,44,PF,15,20,12,47,PF,15,19,12,46,PF,14,19,12,45,PF
Philippines,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,PF,F,F,F,F,F,F,F,PF,PF,2,2,6,5,10,10,12,8,55,PF,2,2,6,5,8,8,7,8,46,PF,5,5,7,7,8,8,0,6,46,PF,5,5,8,7,8,9,2,2,46,PF,5,5,7,3,4,5,1,0,30,F,5,5,7,3,3,5,2,0,30,F,5,5,7,5,3,3,0,2,30,F,3,3,7,5,3,4,2,3,30,F,3,16,11,30,F,3,17,10,30,F,6,19,9,34,PF,6,19,10,35,PF,8,21,11,40,PF,11,24,11,46,PF,11,23,11,45,PF,11,23,11,45,PF,13,24,11,48,PF,13,22,11,46,PF,12,20,10,42,PF,13,20,10,43,PF,13,21,10,44,PF,14,20,10,44,PF,14,20,10,44,PF,14,20,10,44,PF
Poland,NF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,NF,PF,F,F,F,5,5,5,3,2,2,3,5,30,F,5,4,5,3,2,2,3,5,29,F,6,6,2,3,2,2,0,0,21,F,6,4,7,4,2,2,0,2,27,F,6,4,7,4,2,2,0,0,25,F,6,4,7,4,2,2,0,0,25,F,4,4,3,4,2,2,0,0,19,F,4,3,3,3,2,4,0,0,19,F,6,6,6,18,F,6,5,7,18,F,6,6,7,19,F,5,8,7,20,F,6,8,7,21,F,7,8,7,22,F,8,9,7,24,F,8,9,7,24,F,8,9,7,24,F,8,10,7,25,F,8,10,7,25,F,9,10,7,26,F,9,11,7,27,F,9,10,7,26,F,9,11,8,28,F,11,14,9,34,PF
Portugal,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,6,2,1,5,1,1,18,F,1,1,6,2,1,3,0,2,16,F,5,4,2,2,2,2,0,0,17,F,5,4,2,2,2,2,0,0,17,F,5,4,2,2,2,2,0,0,17,F,5,4,2,2,2,2,0,0,17,F,5,4,2,2,2,2,0,0,17,F,5,4,2,2,2,2,0,0,17,F,3,5,7,15,F,5,4,6,15,F,2,5,7,14,F,2,6,6,14,F,2,6,6,14,F,2,6,6,14,F,4,6,6,16,F,4,6,6,16,F,4,6,6,16,F,5,6,6,17,F,5,6,6,17,F,5,6,6,17,F,5,7,6,18,F,5,7,6,18,F,5,7,6,18,F,4,7,6,17,F
Qatar,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,8,8,10,10,10,10,5,5,64,NF,8,8,10,10,10,10,4,4,64,NF,10,10,10,10,10,10,0,2,62,NF,8,8,8,8,10,10,0,1,53,PF,8,8,14,12,10,10,0,0,62,NF,8,8,14,12,10,10,0,0,62,NF,7,8,13,14,10,10,0,0,62,NF,7,8,13,14,10,10,0,0,62,NF,14,24,24,62,NF,16,24,21,61,NF,14,24,23,61,NF,17,23,22,62,NF,18,23,20,61,NF,18,24,21,63,NF,19,24,21,64,NF,19,24,22,65,NF,20,24,22,66,NF,20,24,22,66,NF,20,25,22,67,NF,20,25,22,67,NF,20,25,22,67,NF,21,24,22,67,NF,21,26,22,69,NF,21,27,22,70,NF
